,Genre,Movies,Release_Date,WGross
1060,Genre: Family Adventure,Agent Cody Banks 2:Destination London,"Release Date: March 12, 2004"," $28,818,995"
1061,Genre: Animation,The Jungle Book 2,"Release Date: February 14, 2003"," $135,703,599"
1062,Genre: Action Comedy,The Rundown,"Release Date: September 26, 2003"," $80,916,492"
1063,Genre: Horror,Final Destination 2,"Release Date: January 31, 2003"," $90,426,405"
1064,Genre: Thriller,Phone Booth,"Release Date: April 4, 2003"," $97,837,138"
1065,Genre: Horror,28 Days Later,"Release Date: June 27, 2003"," $82,719,885"
1066,Genre: Comedy,Lost in Translation,"Release Date: September 12, 2003"," $119,723,856"
1067,Genre: Action Drama,Tears of the Sun,"Release Date: March 7, 2003"," $86,468,162"
1068,Genre: Romance,Under the Tuscan Sun,"Release Date: September 26, 2003"," $58,878,723"
1069,Genre: Family Adventure,The Lizzie McGuire Movie,"Release Date: May 2, 2003"," $55,534,455"
1070,Genre: Family Adventure,Secondhand Lions,"Release Date: September 19, 2003"," $47,902,566"
1071,Genre: Drama,Time Out of Mind,"Release Date: September 9, 2015"," $166,775"
1072,Genre: Animation,Rugrats Go Wild,"Release Date: June 13, 2003"," $55,405,066"
1073,Genre: Comedy,Head of State,"Release Date: March 28, 2003"," $38,620,484"
1074,Genre: Family Comedy,Good Boy!,"Release Date: October 10, 2003"," $45,312,217"
1075,Genre: Comedy,Uptown Girls,"Release Date: August 15, 2003"," $44,617,342"
1076,Genre: Crime,Matchstick Men,"Release Date: September 12, 2003"," $65,565,672"
1077,Genre: Action Comedy,National Security,"Release Date: January 17, 2003"," $50,097,949"
1078,Genre: Family Comedy,What a Girl Wants,"Release Date: April 4, 2003"," $50,732,139"
1079,Genre: Horror,Jeepers Creepers 2,"Release Date: August 29, 2003"," $63,102,666"
1080,Genre: Romantic Comedy,Intolerable Cruelty,"Release Date: October 10, 2003"," $120,217,409"
1081,Genre: Action,Cradle 2 the Grave,"Release Date: February 28, 2003"," $56,489,558"
1083,Genre: Comedy,Malibu's Most Wanted,"Release Date: April 18, 2003"," $34,622,504"
1084,Genre: Action,The Hunted,"Release Date: March 14, 2003"," $45,496,534"
1085,Genre: Comedy,Stuck on You,"Release Date: December 12, 2003"," $65,784,503"
1086,Genre: Sci-Fi Horror,Dreamcatcher,"Release Date: March 21, 2003"," $75,715,436"
1087,Genre: Horror,Darkness Falls,"Release Date: January 24, 2003"," $47,488,536"
1088,Genre: Sports Comedy,Bend It Like Beckham,"Release Date: March 12, 2003"," $76,583,333"
1089,Genre: Action Drama,The Core,"Release Date: March 28, 2003"," $73,498,611"
1090,Genre: Comedy,Calendar Girls,"Release Date: December 19, 2003"," $96,542,059"
1091,Genre: Action Comedy,Hollywood Homicide,"Release Date: June 13, 2003"," $51,142,659"
1092,Genre: Drama,American Honey,"Release Date: September 30, 2016"," $1,818,075"
1093,Genre: Music Drama,The Fighting Temptations,"Release Date: September 19, 2003"," $32,750,821"
1094,Genre: Action Comedy,Johnny English Reborn,"Release Date: October 21, 2011"," $160,078,586"
1095,Genre: Crime,The Advocate:A Missing Body,"Release Date: October 23, 2015"," $50,162"
1096,Genre: Thriller,Basic Instinct 2,"Release Date: March 31, 2006"," $38,629,478"
1097,Genre: Action,A Man Apart,"Release Date: April 4, 2003"," $44,350,926"
1098,Genre: Animation,Sinbad:Legend of the Seven Seas,"Release Date: July 2, 2003"," $80,767,884"
1099,Genre: Comedy,Dumb and Dumberer:When Harry Met Lloyd,"Release Date: June 13, 2003"," $39,267,515"
1100,Genre: Animation,Shrek 2,"Release Date: May 19, 2004"," $919,838,758"
1102,Genre: Historical Drama,The Passion of the Christ,"Release Date: February 25, 2004"," $611,899,420"
1103,Genre: Comedy,Meet the Fockers,"Release Date: December 22, 2004"," $516,642,939"
1105,Genre: Fantasy,Harry Potter and the Prisoner of Azkaban,"Release Date: June 4, 2004"," $796,688,549"
1106,Genre: Action Drama,The Day After Tomorrow,"Release Date: May 28, 2004"," $544,272,402"
1107,Genre: Action Thriller,The Bourne Supremacy,"Release Date: July 23, 2004"," $288,500,217"
1109,Genre: Animation,The Polar Express,"Release Date: November 10, 2004"," $309,938,011"
1110,Genre: Fantasy,Tale of Tales,"Release Date: April 22, 2016"," $118,925"
1112,Genre: Historical Epic,Troy,"Release Date: May 14, 2004"," $497,409,852"
1113,Genre: Crime Comedy,Ocean's Twelve,"Release Date: December 10, 2004"," $362,744,280"
1114,Genre: Romantic Comedy,50 First Dates,"Release Date: February 13, 2004"," $196,482,882"
1115,Genre: Period Horror,Van Helsing,"Release Date: May 7, 2004"," $300,257,475"
1117,Genre: Family Adventure,Lemony Snicket's A Series of Unfortunate Events,"Release Date: December 17, 2004"," $209,073,645"
1118,Genre: Sports Comedy,DodgeBall:A True Underdog Story,"Release Date: June 18, 2004"," $167,722,310"
1119,Genre: Animation,Smurfs:The Lost Village,"Release Date: April 7, 2017"," $197,183,546"
1120,Genre: Sports Comedy,Grudge Match,"Release Date: December 25, 2013"," $44,907,260"
1121,Genre: Period Drama,The Aviator,"Release Date: December 17, 2004"," $213,741,459"
1122,Genre: Drama,Collateral Beauty,"Release Date: December 16, 2016"," $88,528,280"
1123,Genre: Sports Drama,Million Dollar Baby,"Release Date: December 15, 2004"," $216,763,646"
1124,Genre: Family Comedy,The Princess Diaries 2:Royal Engagement,"Release Date: August 11, 2004"," $134,734,481"
1125,Genre: Action Comedy,Starsky and Hutch,"Release Date: March 5, 2004"," $170,268,750"
1126,Genre: Romantic Comedy,Along Came Polly,"Release Date: January 16, 2004"," $171,963,386"
1127,Genre: Comedy,Mean Girls,"Release Date: April 30, 2004"," $129,042,871"
1128,Genre: Animation,The SpongeBob SquarePants Movie,"Release Date: November 19, 2004"," $140,161,792"
1129,Genre: Comedy,Anchorman:The Legend of Ron Burgundy,"Release Date: July 9, 2004"," $90,574,188"
1130,Genre: Family Adventure,Scooby-Doo 2:Monsters Unleashed,"Release Date: March 26, 2004"," $181,466,833"
1131,Genre: Foreign,The Notebook (2014),"Release Date: August 29, 2014"," $66,559"
1132,Genre: Sci-Fi Horror,Aliens Vs. Predator - Requiem,"Release Date: December 25, 2007"," $128,884,494"
1133,Genre: Action Drama,Man on Fire,"Release Date: April 21, 2004"," $130,293,714"
1134,Genre: Comedy / Drama,The Terminal,"Release Date: June 18, 2004"," $219,417,255"
1135,Genre: Family Comedy,Garfield:The Movie,"Release Date: June 11, 2004"," $200,804,534"
1136,Genre: Drama,Camp X-Ray,"Release Date: October 17, 2014"," $13,302"
1137,Genre: Action Drama,Ladder 49,"Release Date: October 1, 2004"," $100,572,044"
1138,Genre: Family Comedy,Christmas with the Kranks,"Release Date: November 24, 2004"," $96,572,480"
1139,Genre: Comedy,Sideways,"Release Date: October 22, 2004"," $109,706,931"
1140,Genre: Comedy,White Chicks,"Release Date: June 23, 2004"," $113,086,475"
1141,Genre: Period Adventure,Hidalgo,"Release Date: March 5, 2004"," $108,103,450"
1143,Genre: Action,Kill Bill Vol. 2,"Release Date: April 16, 2004"," $152,159,461"
1144,Genre: Thriller,The Manchurian Candidate,"Release Date: July 30, 2004"," $96,105,964"
1145,Genre: Comedy,Barbershop 2:Back in Business,"Release Date: February 6, 2004"," $65,971,313"
1147,Genre: Sports Drama,Friday Night Lights,"Release Date: October 8, 2004"," $61,950,770"
1149,Genre: Sci-Fi Comedy,The Stepford Wives,"Release Date: June 11, 2004"," $102,001,626"
1150,Genre: Horror,Dawn of the Dead,"Release Date: March 19, 2004"," $102,356,381"
1151,Genre: Comedy,Without a Paddle,"Release Date: August 20, 2004"," $69,631,118"
1152,Genre: Sci-Fi Thriller,The Butterfly Effect,"Release Date: January 23, 2004"," $96,060,858"
1153,Genre: Music Drama,Shall We Dance,"Release Date: October 15, 2004"," $170,128,460"
1154,Genre: Sci-Fi Fantasy,The Chronicles of Riddick,"Release Date: June 11, 2004"," $115,772,733"
1156,Genre: Drama,I Saw the Light,"Release Date: March 25, 2016"," $1,646,788"
1158,Genre: Action Horror,Blade:Trinity,"Release Date: December 8, 2004"," $128,905,366"
1159,Genre: Adventure,King Arthur:Legend of the Sword,"Release Date: May 12, 2017"," $148,675,066"
1160,Genre: Period Drama,Finding Neverland,"Release Date: November 12, 2004"," $116,766,556"
1161,Genre: Family Comedy,A Cinderella Story,"Release Date: July 16, 2004"," $70,067,909"
1162,Genre: Musical,The Phantom of the Opera,"Release Date: December 22, 2004"," $154,648,887"
1163,Genre: Action Horror,Resident Evil:Apocalypse,"Release Date: September 10, 2004"," $129,342,769"
1164,Genre: Animation,Home on the Range,"Release Date: April 2, 2004"," $103,951,461"
1165,Genre: Family Comedy,Fat Albert,"Release Date: December 25, 2004"," $48,551,322"
1166,Genre: Thriller,Secret Window,"Release Date: March 12, 2004"," $92,913,171"
1167,Genre: Action,Walking Tall,"Release Date: April 2, 2004"," $57,223,890"
1168,Genre: Comedy / Drama,In Good Company,"Release Date: December 29, 2004"," $61,315,215"
1169,Genre: Comedy,Napoleon Dynamite,"Release Date: June 11, 2004"," $46,118,097"
1170,Genre: Comedy / Drama,Spanglish,"Release Date: December 17, 2004"," $55,041,367"
1171,Genre: Period Horror,Exorcist:The Beginning,"Release Date: August 20, 2004"," $78,000,586"
1172,Genre: Music Drama,You Got Served,"Release Date: January 30, 2004"," $48,631,561"
1173,Genre: Romantic Comedy,Bridget Jones:The Edge of Reason,"Release Date: November 12, 2004"," $262,520,724"
1174,Genre: Action / Adventure,Catwoman,"Release Date: July 23, 2004"," $82,102,379"
1175,Genre: Crime Comedy,The Ladykillers,"Release Date: March 26, 2004"," $76,747,441"
1176,Genre: Sci-Fi Adventure,Sky Captain and the World of Tomorrow,"Release Date: September 17, 2004"," $57,958,696"
1177,Genre: Comedy,Raising Helen,"Release Date: May 28, 2004"," $49,718,611"
1178,Genre: Drama,A Taxi Driver,"Release Date: August 11, 2017"," $81,674,009"
1179,Genre: Sci-Fi Comedy,Eternal Sunshine of the Spotless Mind,"Release Date: March 19, 2004"," $72,258,126"
1180,Genre: Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Release Date: October 10, 2014"," $101,379,287"
1181,Genre: Romance,Closer,"Release Date: December 3, 2004"," $115,505,027"
1182,Genre: Action,Punisher:War Zone,"Release Date: December 5, 2008"," $10,100,036"
1183,Genre: Comedy,Team America:World Police,"Release Date: October 15, 2004"," $50,907,422"
1184,Genre: Thriller,Taking Lives,"Release Date: March 19, 2004"," $65,470,529"
1185,Genre: Horror,Anacondas:The Hunt for the Blood Orchid,"Release Date: August 27, 2004"," $70,992,898"
1186,Genre: Thriller,Cellular,"Release Date: September 10, 2004"," $56,422,687"
1187,Genre: Comedy,Johnson Family Vacation,"Release Date: April 7, 2004"," $31,462,753"
1188,Genre: Horror,Open Water,"Release Date: August 6, 2004"," $54,667,954"
1189,Genre: Family Comedy,Confessions of a Teenage Drama Queen,"Release Date: February 20, 2004"," $33,051,296"
1190,Genre: Romantic Thriller,After the Sunset,"Release Date: November 12, 2004"," $61,347,797"
1191,Genre: Romantic Comedy,The Prince and Me,"Release Date: April 2, 2004"," $37,666,766"
1192,Genre: Comedy / Drama,Garden State,"Release Date: July 28, 2004"," $35,825,316"
1193,Genre: Comedy / Drama,Jersey Girl,"Release Date: March 26, 2004"," $36,098,382"
1195,Genre: Adventure Comedy,The Life Aquatic with Steve Zissou,"Release Date: December 10, 2004"," $34,808,403"
1196,Genre: Family Adventure,Around the World in 80 Days,"Release Date: June 16, 2004"," $72,178,895"
1197,Genre: Family Adventure,Agent Cody Banks 2:Destination London,"Release Date: March 12, 2004"," $28,818,995"
1198,Genre: Drama,Hotel Rwanda,"Release Date: December 22, 2004"," $33,882,243"
1199,Genre: Family Adventure,Ella Enchanted,"Release Date: April 9, 2004"," $27,388,767"
1200,Genre: Sci-Fi Fantasy,Star Wars:Episode III - Revenge of the Sith,"Release Date: May 19, 2005"," $848,754,768"
1202,Genre: Fantasy,Harry Potter and the Goblet of Fire,"Release Date: November 18, 2005"," $896,911,078"
1204,Genre: Documentary,The King of Kong:A Fistful of Quarters,"Release Date: August 17, 2007"," $790,128"
1205,Genre: Comedy,Wedding Crashers,"Release Date: July 15, 2005"," $285,176,741"
1206,Genre: Family Adventure,Charlie and the Chocolate Factory,"Release Date: July 15, 2005"," $474,968,763"
1207,Genre: Action / Adventure,Batman Begins,"Release Date: June 15, 2005"," $374,218,673"
1210,Genre: Documentary,78/52:Hitchcock's Shower Scene,"Release Date: October 13, 2017",* Denotes minor role
1211,Genre: Sports Comedy,The Longest Yard,"Release Date: May 27, 2005"," $190,320,568"
1213,Genre: Animation,Chicken Little,"Release Date: November 4, 2005"," $314,432,837"
1214,Genre: Animation,Robots,"Release Date: March 11, 2005"," $260,718,330"
1215,Genre: Music Drama,Walk the Line,"Release Date: November 18, 2005"," $186,438,883"
1216,Genre: Family Comedy,The Pacifier,"Release Date: March 4, 2005"," $198,636,868"
1217,Genre: Crime Comedy,Fun with Dick and Jane,"Release Date: December 21, 2005"," $202,026,112"
1218,Genre: Comedy,The 40-Year-Old Virgin,"Release Date: August 19, 2005"," $177,378,645"
1219,Genre: Thriller,Flightplan,"Release Date: September 23, 2005"," $223,387,299"
1220,Genre: Horror,Saw II,"Release Date: October 28, 2005"," $147,748,505"
1221,Genre: Western,Brokeback Mountain,"Release Date: December 9, 2005"," $178,062,759"
1222,Genre: Comedy,Monster-in-Law,"Release Date: May 13, 2005"," $154,749,918"
1223,Genre: Family Comedy,Are We There Yet?,"Release Date: January 21, 2005"," $97,918,663"
1224,Genre: Family Comedy,Cheaper by the Dozen 2,"Release Date: December 21, 2005"," $129,181,830"
1225,Genre: Action Comedy,The Dukes of Hazzard,"Release Date: August 5, 2005"," $111,069,515"
1226,Genre: Documentary,March of the Penguins,"Release Date: June 24, 2005"," $127,392,693"
1227,Genre: Horror,The Ring Two,"Release Date: March 18, 2005"," $161,451,538"
1229,Genre: Horror,The Exorcism of Emily Rose,"Release Date: September 9, 2005"," $144,216,468"
1230,Genre: Action / Crime,Four Brothers,"Release Date: August 12, 2005"," $92,374,674"
1231,Genre: Crime,Frank Miller's Sin City:A Dame to Kill For,"Release Date: August 22, 2014"," $39,407,616"
1232,Genre: Thriller,The Interpreter,"Release Date: April 22, 2005"," $162,944,923"
1233,Genre: Comedy,Guess Who,"Release Date: March 25, 2005"," $101,866,030"
1234,Genre: Adventure,Sahara,"Release Date: April 8, 2005"," $119,269,486"
1235,Genre: Sports Drama,Coach Carter,"Release Date: January 14, 2005"," $76,669,806"
1236,Genre: Family Comedy,Herbie:Fully Loaded,"Release Date: June 22, 2005"," $144,146,816"
1237,Genre: Horror,The Amityville Horror (2005),"Release Date: April 15, 2005"," $108,047,131"
1238,Genre: Family Adventure,Sky High,"Release Date: July 29, 2005"," $86,369,815"
1239,Genre: Romantic Comedy,Bewitched,"Release Date: June 24, 2005"," $131,426,169"
1240,Genre: War Drama,Jarhead,"Release Date: November 4, 2005"," $96,889,998"
1241,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
1242,Genre: Romantic Comedy,The Family Stone,"Release Date: December 16, 2005"," $92,283,851"
1243,Genre: Thriller,Red Eye,"Release Date: August 19, 2005"," $95,577,774"
1244,Genre: Period Drama,Memoirs of a Geisha,"Release Date: December 9, 2005"," $162,242,962"
1245,Genre: Horror,White Noise,"Release Date: January 7, 2005"," $91,196,419"
1246,Genre: Animation,Wallace and Gromit:The Curse of the Were-Rabbit,"Release Date: October 5, 2005"," $192,610,372"
1247,Genre: Crime Comedy,Be Cool,"Release Date: March 4, 2005"," $95,226,116"
1250,Genre: Animation,Tim Burton's Corpse Bride,"Release Date: September 16, 2005"," $117,195,061"
1251,Genre: Sports Comedy,Kicking and Screaming,"Release Date: May 13, 2005"," $56,070,433"
1252,Genre: Animation,Hoodwinked Too! Hood vs. Evil,"Release Date: April 29, 2011"," $16,960,968"
1253,Genre: Thriller,Hide and Seek,"Release Date: January 28, 2005"," $122,650,962"
1254,Genre: Sci-Fi Comedy,The Hitchhiker's Guide to the Galaxy,"Release Date: April 29, 2005"," $104,478,416"
1255,Genre: Drama / Thriller,Syriana,"Release Date: November 23, 2005"," $93,974,620"
1256,Genre: Comedy / Drama,Tyler Perry's Diary of a Mad Black Woman,"Release Date: February 25, 2005"," $50,652,203"
1257,Genre: Family Adventure,Racing Stripes,"Release Date: January 14, 2005"," $90,754,475"
1258,Genre: Action Comedy,Miss Congeniality 2:Armed and Fabulous,"Release Date: March 24, 2005"," $101,393,569"
1259,Genre: Romantic Comedy,Just Like Heaven,"Release Date: September 16, 2005"," $102,854,431"
1260,Genre: Horror,The Skeleton Key,"Release Date: August 12, 2005"," $91,974,818"
1261,Genre: Drama / Thriller,Munich,"Release Date: December 23, 2005"," $130,358,911"
1262,Genre: Historical Epic,Kingdom of Heaven,"Release Date: May 6, 2005"," $211,652,051"
1263,Genre: Horror,Boogeyman,"Release Date: February 4, 2005"," $67,192,859"
1264,Genre: Period Adventure,The Legend of Zorro,"Release Date: October 28, 2005"," $142,400,065"
1265,Genre: Romantic Comedy,Must Love Dogs,"Release Date: July 29, 2005"," $58,405,313"
1266,Genre: Action,Transporter 2,"Release Date: September 2, 2005"," $85,167,639"
1267,Genre: Romantic Comedy,Rumor Has It,"Release Date: December 25, 2005"," $88,933,562"
1268,Genre: Romantic Comedy,Fever Pitch,"Release Date: April 8, 2005"," $50,451,307"
1270,Genre: Comedy / Drama,The Sisterhood of the Traveling Pants 2,"Release Date: August 6, 2008"," $44,352,417"
