Age,Athlete,Country,Medal,NOC,Rank,Time,Year
26,Christian Mayer,Austria,Bronze,AUT,3,3:10.11,1998
33,GÃ¼nther Mader,Austria,,AUT,4,3:10.19,1998
23,Andrzej Bachleda-CuruÅ,Poland,,POL,5,3:11.53,1998
24,Alessandro Fattori,Italy,,ITA,6,3:17.00,1998
25,AleÅ¡ BrezavÅ¡Äek,Slovenia,,SLO,7,3:20.09,1998
25,Peter Pen,Slovenia,,SLO,8,3:20.81,1998
24,JÃ¼rgen Hasler,Liechtenstein,,LIE,9,3:23.15,1998
22,Erik Seletto,Italy,,ITA,10,3:23.23,1998
21,ThomÃ¡s Grob,Chile,,CHI,11,3:28.60,1998
19,Mykola Skriabin,Ukraine,,UKR,12,3:30.25,1998
24,Rainer Grob,Chile,,CHI,13,3:34.49,1998
24,Zurab Dzhidzhishvili,Georgia,,GEO,14,3:35.65,1998
25,Patrick-Paul Schwarzacher-Joyce,Ireland,,IRL,15,3:39.03,1998
26,Kjetil AndrÃ© Aamodt,Norway,,NOR,,,1998
31,Finn Christian Jagge,Norway,,NOR,,,1998
25,Hermann Maier,Austria,,AUT,,,1998
28,Kristian Ghedina,Italy,,ITA,,,1998
25,Luca Cattaneo,Italy,,ITA,,,1998
27,Matt Grosjean,United States,,USA,,,1998
30,Paul Accola,Switzerland,,SUI,,,1998
28,Petar Dichev,Bulgaria,,BUL,,,1998
27,Ed Podivinsky,Canada,,CAN,,,1998
24,Linas Vaitkus,Lithuania,,LTU,,,1998
26,Jernej Koblar,Slovenia,,SLO,,,1998
20,Kalle Palander,Finland,,FIN,,,1998
25,Bruno Kernen,Switzerland,,SUI,,,1998
24,James Ormond,Great Britain,,GBR,,,1998
24,JÃ¼rg GrÃ¼nenfelder,Switzerland,,SUI,,,1998
24,Arne Hardenberg,Denmark,,DEN,,,1998
28,Patrik JÃ¤rbyn,Sweden,,SWE,,,1998
21,Tejs Broberg,Denmark,,DEN,,,1998
22,Jason Rosener,United States,,USA,,,1998
22,Yasuyuki Takishita,Japan,,JPN,,,1998
24,Andrew Freshwater,Great Britain,,GBR,,,1998
26,Chad Fleischer,United States,,USA,,,1998
23,Marcel Maxa,Czech Republic,,CZE,,,1998
30,Kjetil AndrÃ© Aamodt,Norway,Gold,NOR,1,3:17.56,2002
24,Bode Miller,United States,Silver,USA,2,3:17.84,2002
23,Benjamin Raich,Austria,Bronze,AUT,3,3:18.26,2002
24,Rainer SchÃ¶nfelder,Austria,,AUT,4,3:18.67,2002
31,Lasse Kjus,Norway,,NOR,5,3:19.80,2002
34,Paul Accola,Switzerland,,SUI,6,3:22.26,2002
21,Patrick Staudacher,Italy,,ITA,7,3:22.47,2002
22,Jean-Philippe Roy,Canada,,CAN,8,3:22.68,2002
30,Jernej Koblar,Slovenia,,SLO,9,3:23.47,2002
28,Stanley Hayer,Czech Republic,,CZE,10,3:24.44,2002
28,Kilian Albrecht,Austria,,AUT,11,3:24.95,2002
25,Borek ZakouÅil,Czech Republic,,CZE,12,3:25.20,2002
28,Alessandro Fattori,Italy,,ITA,13,3:25.57,2002
27,Andrey Filichkin,Russia,,RUS,14,3:28.14,2002
24,Ross Green,Great Britain,,GBR,15,3:29.11,2002
24,Stefan Georgiev,Bulgaria,,BUL,16,3:29.39,2002
25,Darin McBeath,Canada,,CAN,17,3:29.57,2002
21,Pavel Shestakov,Russia,,RUS,18,3:30.18,2002
26,Jakub Fiala,United States,,USA,19,3:30.43,2002
28,Jan HolickÃ½,Czech Republic,,CZE,20,3:31.15,2002
25,Antoine DÃ©nÃ©riaz,France,,FRA,21,3:31.97,2002
18,Sergey Komarov,Russia,,RUS,22,3:32.03,2002
19,NicolÃ¡s Arsel,Argentina,,ARG,23,3:36.58,2002
21,Ivan Heimschild,Slovakia,,SVK,24,3:36.78,2002
23,Mykola Skriabin,Ukraine,,UKR,25,3:41.06,2002
21,OndÅej Bank,Czech Republic,,CZE,,,2002
26,Michael Walchhofer,Austria,,AUT,,,2002
24,Didier DÃ©fago,Switzerland,,SUI,,,2002
29,Bruno Kernen,Switzerland,,SUI,,,2002
24,Gregor Å parovec,Slovenia,,SLO,,,2002
28,GaÃ«tan Llorach,France,,FRA,,,2002
31,Ed Podivinsky,Canada,,CAN,,,2002
29,Casey Puckett,United States,,USA,,,2002
26,Truls Ove Karlsen,Norway,,NOR,,,2002
23,Andrej Jerman,Slovenia,,SLO,,,2002
23,Alex Heath,South Africa,,RSA,,,2002
20,Tahir BisiÄ,Bosnia and Herzegovina,,BIH,,,2002
25,AJ Bear,Australia,,AUS,,,2002
25,Kurt Sulzenbacher,Italy,,ITA,,,2002
19,Maksim Kedrin,Russia,,RUS,,,2002
21,AgustÃ­n GarcÃ­a,Argentina,,ARG,,,2002
29,Patrick-Paul Schwarzacher-Joyce,Ireland,,IRL,,,2002
22,Mitja DragÅ¡iÄ,Slovenia,,SLO,,,2002
21,Cristian Simari Birkner,Argentina,,ARG,,,2002
24,Craig Branch,Australia,,AUS,,,2002
21,Michal RajÄan,Slovakia,,SVK,,,2002
23,Angel Pumpalov,Bulgaria,,BUL,,,2002
21,Ted Ligety,United States,Gold,USA,1,3:09.35,2006
26,Ivica KosteliÄ,Croatia,Silver,CRO,2,3:09.88,2006
28,Rainer SchÃ¶nfelder,Austria,Bronze,AUT,3,3:10.67,2006
22,Daniel Albrecht,Switzerland,,SUI,4,3:10.73,2006
30,Giorgio Rocca,Italy,,ITA,5,3:10.74,2006
25,OndÅej Bank,Czech Republic,,CZE,6,3:11.00,2006
22,Marc Berthod,Switzerland,,SUI,7,3:11.22,2006
30,Pierrick Bourgeat,France,,FRA,8,3:11.29,2006
23,Peter Fill,Italy,,ITA,9,3:12.21,2006
20,Kjetil Jansrud,Norway,,NOR,10,3:12.32,2006
27,Markus Larsson,Sweden,,SWE,11,3:12.34,2006
23,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,12,3:12.41,2006
21,Jean-Baptiste Grange,France,,FRA,13,3:12.51,2006
24,Noel Baxter,Great Britain,,GBR,14,3:12.79,2006
25,AleÅ¡ Gorza,Slovenia,,SLO,15,3:12.91,2006
28,Scott Macartney,United States,,USA,16,3:13.05,2006
21,John Kucera,Canada,,CAN,17,3:13.26,2006
28,Johan Brolenius,Sweden,,SWE,18,3:13.27,2006
27,Andrej Jerman,Slovenia,,SLO,19,3:13.80,2006
19,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,20,3:14.18,2006
21,FranÃ§ois Bourque,Canada,,CAN,21,3:14.25,2006
21,Aleksandr Khoroshilov,Russia,,RUS,22,3:15.46,2006
25,Cristian Simari Birkner,Argentina,,ARG,23,3:16.54,2006
25,Pavel Shestakov,Russia,,RUS,24,3:16.84,2006
25,Ivan Heimschild,Slovakia,,SVK,25,3:18.41,2006
18,Tin Å iroki,Croatia,,CRO,26,3:20.16,2006
21,Jaroslav BabuÅ¡iak,Slovakia,,SVK,27,3:20.78,2006
21,Roger Vidosa,Andorra,,AND,28,3:21.37,2006
23,Steve Nyman,United States,,USA,29,3:22.68,2006
